_id,Name,Gender,City,Account no,Bank Name,IFSC code,Contact No
ID12162,Isaac,FEMALE,Ahmedabad,349000234, HDFC bank,HDF033301,7000104501
ID12163,Otto,FEMALE,Ahmedabad,340012377, HDFC bank,HDF033301,9791246701
ID12164,Luther,MALE,Ahmedabad,348989907, HDFC bank,HDF033301,9899123001
ID12165,Lawrence,FEMALE,Ahmedabad,342233457, HDFC bank,HDF033301,9889911231
ID12166,Ira,MALE,Ahmedabad,389882177, HDFC bank,HDF033301,9445600131
ID12167,Patrick,MALE,Ahmedabad,312778977, HDFC bank,HDF033301,9000112341
ID12168,Guy,MALE,Ahmedabad,349000177, HDFC bank,HDF033301,9971445231
ID12169,Oliver,MALE,Ahmedabad,301010277, HDFC bank,HDF033301,9977881301
ID12170,Theodore,FEMALE,Ahmedabad,348467577, HDFC bank,HDF033301,9926671131
ID12171,Hugh,FEMALE,Ahmedabad,349998127, HDFC bank,HDF033301,9923771121
ID12172,Clyde,MALE,Ahmedabad,345600001, HDFC bank,HDF033301,9926771231
ID12173,Alexander,MALE,Ahmedabad,342300100, HDFC bank,HDF033301,9923478111
ID12174,August,FEMALE,Ahmedabad,348900111, HDFC bank,HDF033301,9923445301
ID12175,Floyd,FEMALE,Ahmedabad,312490012,Baroda  bank,BO0443321,9923444501
ID12176,Homer,FEMALE,Ahmedabad,323455677,Baroda  bank,BO0443321,9923400101
ID12177,Jack,FEMALE,Ahmedabad,342350017,Baroda  bank,BO0443321,9921667231
ID12178,Leonard,MALE,Ahmedabad,389991223,Baroda  bank,BO0443321,9902304031
ID12179,Horace,FEMALE,Ahmedabad,346781123,Baroda  bank,BO0443321,9912300221
ID12180,Marion,FEMALE,Ahmedabad,377111002,Baroda  bank,BO0443321,9926700121
ID12181,Philip,FEMALE,Ahmedabad,345679011,Baroda  bank,BO0443321,9923458901
ID12182,Allen,MALE,Ahmedabad,349000123,Baroda  bank,BO0443321,9923458900
ID12183,Archie,FEMALE,Ahmedabad,385858123,Baroda  bank,BO0443321,9923491251
ID12184,Stephen,FEMALE,Ahmedabad,390223456,Baroda  bank,BO0443321,9923781121
ID12185,Chester,MALE,Ahmedabad,300122345,Baroda  bank,BO0443321,9988912301
ID12186,Willis,MALE,Ahmedabad,312889023,Baroda  bank,BO0443321,9927881201
ID12187,Raymond,FEMALE,Ahmedabad,300991123,Baroda  bank,BO0443321,9990011901
ID12188,Rufus,FEMALE,Ahmedabad,341255678,Baroda  bank,BO0443321,9923778901
ID12189,Warren,FEMALE,Ahmedabad,346777112,Baroda  bank,BO0443321,9921113901
ID12190,Jessie,FEMALE,Ahmedabad,345622345,Baroda  bank,BO0443321,9919900901
ID12191,Milton,MALE,Ahmedabad,342455678,Baroda  bank,BO0443321,9188928901
ID12192,Alex,FEMALE,Ahmedabad,348999012,Baroda  bank,BO0443321,9990123901
ID12193,Leo,FEMALE,Ahmedabad,348923345,Baroda  bank,BO0443321,9967722301
ID12194,Julius,MALE,Ahmedabad,340014823,Baroda  bank,BO0443321,9920000221
ID12195,Ray,MALE,Ahmedabad,342248277,Baroda  bank,BO0443321,9001886901
ID12196,Sidney,FEMALE,Ahmedabad,349941277,Baroda  bank,BO0443321,9002456701
ID12197,Bernard,MALE,Ahmedabad,348399123,Baroda  bank,BO0443321,9001567021
ID12198,Dan,MALE,Ahmedabad,340012457,Baroda  bank,BO0443321,9000015691
ID12199,Jerry,FEMALE,Ahmedabad,340001247,Baroda  bank,BO0443321,9005622018
